
-0.2967,-1.0744,0.9900
-0.5647,0.6508,0.7651
-0.9667,0.4355,0.7579
0.1125,0.2728,0.7005
0.0885,0.1627,0.6981
-0.2489,0.3398,1.0427
-0.1149,0.4618,0.4253
-0.0790,0.5288,0.8848
-0.0287,0.1316,0.9805
-0.2656,0.1866,0.8584
0.1747,0.7250,0.6718
-0.2058,0.5503,0.8991
-0.2560,0.2369,0.8895
0.2441,-0.0048,1.0522
0.9930,-0.1244,0.6885
0.1699,0.5982,0.4971
-0.1771,0.9476,0.4516
0.1938,0.0550,0.7101
-0.0981,-1.0983,0.8560
0.4307,-0.1436,1.1097
0.6580,-0.3733,1.2844
0.9452,-0.1962,1.1336
0.7035,-0.9667,0.6550
0.1555,-0.8853,0.6718
0.5312,-0.5886,0.6526
0.4905,-0.3159,0.4325
0.2225,-0.4451,0.4660
-0.2536,-0.4642,0.7077
0.0670,-0.5432,0.9374
0.4116,-0.7011,0.5115
-0.4331,-0.7442,0.9446
-0.2919,-0.5575,0.7173
0.3589,-0.5934,0.9589
0.3039,-0.7035,0.7364
0.3661,-0.0096,0.4277
-0.4379,-0.8495,1.1767
0.0574,-0.0526,0.6790
-0.1651,-0.5145,0.6526
-0.3015,-0.4834,0.7484
-0.4403,0.5001,0.1430
-0.4116,-0.1819,0.8824
-0.6389,-0.7944,0.8441
-0.4116,-0.0742,0.2842
-1.1366,-0.0646,0.6000
-0.1747,-0.6556,0.8465
-0.6987,-0.4116,0.6335
0.3135,-0.1053,0.5210
0.2991,-0.8806,0.3703
1.2419,-0.4379,0.8752
2.0100,-1.4309,1.6050
3.0293,-2.9623,0.6503
2.2493,-2.9192,0.4397
3.1011,-3.2877,0.8106
2.8403,-3.2806,0.5186
0.6317,-1.6367,0.7149
1.7635,-1.9669,0.7292
1.9502,-2.0746,0.4086
2.3593,-1.6917,0.6191
1.9310,-0.9212,0.7699
2.1870,-1.2443,0.8704
2.6608,-1.5410,0.6120
1.4812,-1.2108,0.7771
1.9214,-0.6054,0.7795
1.0169,-0.7418,0.5139
1.4166,-0.1340,0.8967
1.1844,0.0646,1.2556
0.1819,-0.9188,0.6287
0.3398,-0.8662,0.5115
1.0504,-0.1077,0.7292
1.5386,-0.5121,0.6526
0.9069,0.3230,0.7723
0.0287,0.9428,1.3250
-0.9715,-0.4331,0.5186
0.4140,0.0239,0.3248
0.2608,-0.2512,0.9613
-0.7250,0.0742,1.0164
0.4618,-0.4810,0.5019
0.2082,-0.7418,0.9111
-0.1388,-0.5288,0.6838
-0.5312,-0.5480,0.7531
0.2632,-0.7155,0.6790
-0.0431,-0.7753,0.7866
-0.5408,-0.7513,0.7101
-0.3063,-0.3948,0.8871
-1.2203,0.4905,0.6574
-0.0120,0.6269,1.0140
-0.2058,0.4762,0.7890
-0.7274,0.7537,1.0570
-0.0885,1.2826,0.9135
-0.5503,1.8209,1.1575
-0.0287,2.3067,0.7675
-0.0215,2.1655,0.7890
-0.2919,2.0674,0.8752
-0.5695,1.9860,0.8967
-0.7178,1.2897,0.9446
-1.1294,1.3974,0.7747
-0.5001,0.9093,1.0235
-0.3781,0.3470,0.6814
-0.1747,0.4427,0.6718
-0.6173,0.5216,0.7651
-0.4618,0.5264,1.0164
-0.5527,0.6724,0.6263
-0.6078,0.2584,0.7125
-0.1795,0.4020,0.9637
